site_id,locality,postalCode,state,operatorId,operatorName,lon,lat,total_num_pois,num_fast_food,num_fuel_stations,num_supermarkets,closest_category,has_toilet,has_wifi,has_seating,open_24hr,tags.brand
YeEuqrY_jkHMLwGdu5hu-dN4sdNH237L5TuhWzpDD4Q,Hamburg,22459,Hamburg,DEEZE,eze.network GmbH,9.92709,53.62902,0,0.0,0.0,0.0,,,,,,
YfMalBfBqHsuH6QLSssJati9w-zi_7X5vhMcZl-X3qY,Hamburg,21035,Hamburg,DEWLN,Wirelane,10.183055,53.4765,1,0.0,0.0,1.0,supermarket,False,False,False,False,PENNY
YhtOiT-lMbAio0GMMDdQSWrJqZv3MVedJEXVylXiHGY,Hamburg,22769,Hamburg,DEHHM,Hamburger Energiewerke,9.952473,53.564032,0,0.0,0.0,0.0,,,,,,
Yl_IMyV2XfRxoTtAYPkBi5kgEU_SleuGSjJ1rOV2Tms,Hamburg,21075,Hamburg,DE2GO,EWEGo,9.92865,53.47104,1,1.0,0.0,0.0,fast_food,False,True,True,False,McDonald's
YlbIfz8dgYF6nCoInyM1cshZnnGMoo4FnVdbZ0xN4S4,Hamburg,22525,Hamburg,DEHHM,Hamburger Energiewerke,9.922791,53.585467,0,0.0,0.0,0.0,,,,,,
YmxUEpP5I_GkA_sDHcv42dK1nbyMyRrw2GdKqmodGmc,Hamburg,20355,Hamburg,DEHHM,Hamburger Energiewerke,9.979389,53.552528,0,0.0,0.0,0.0,,,,,,
YqQqqvI1_rjaw_zUhnpw8_JefkJ0GwC-GCdqyHwIMw0,Hamburg,22339,Hamburg,DEHHM,Hamburger Energiewerke,10.03491,53.645408,0,0.0,0.0,0.0,,,,,,
Yqthme4j324edZ-SB5siKc-t5yakDxII4jy5XSmWI_8,Hamburg,22301,Hamburg,DEHHM,Hamburger Energiewerke,10.008827,53.585299,1,0.0,0.0,1.0,supermarket,False,False,False,False,Rewe
Ys6EES7AN0tIUXuwxeORLB8MSUdjn9oCrUrMzxRXzRY,Hamburg,20099,Hamburg,DEWLN,Wirelane,10.020093,53.556588,0,0.0,0.0,0.0,,,,,,
Ys7dlM8k1jaSkAaMOrxwGhjdRTPFpdhvzJJUatB_RbA,Hamburg,22359,Hamburg,DEPFW,Pfalzwerke AG,10.18761,53.64428,0,0.0,0.0,0.0,,,,,,
YwWWE2EysfRPYJbz6137OGrQ94Ymp3rGhy7Uootkrp8,Hamburg,21147,Hamburg,DEWWL,Westfalen Weser Ladeservice GmbH,9.85324,53.47798,0,0.0,0.0,0.0,,,,,,
Yz5Y4sxO-2CBorpinLD334w1GY4p_LGx_UZcctty_pM,Hamburg,20255,Hamburg,DEEZE,eze.network GmbH,9.94976,53.57719,0,0.0,0.0,0.0,,,,,,
Z7Om5jt77PPWPdxoBaEdGtgyFsYv6ERjCz1qZSAUKKU,Hamburg,21075,Hamburg,DEWLN,Wirelane,9.939527,53.457944,0,0.0,0.0,0.0,,,,,,
Z894iZ2y0leROZelenCqnVgFmVw3osiP2ifnRoURj7Q,Hamburg,22529,Hamburg,DEHHM,Hamburger Energiewerke,9.966528,53.595358,0,0.0,0.0,0.0,,,,,,
ZBkfF4oCtrQ_m0mqD_fgz_i-oFd6MFjNNMn-Cvou6-c,Hamburg,21035,Hamburg,DEEZE,eze.network GmbH,10.2005,53.48552,0,0.0,0.0,0.0,,,,,,
ZDc0Nczkxpmtv2ubJsksTbZuOIbYoIw6WJMExEHfJ_Q,Hamburg,22587,Hamburg,DEHHM,Hamburger Energiewerke,9.807264,53.564044,0,0.0,0.0,0.0,,,,,,
ZIhWVMX__0TFIF3IsVyQEO0rggBC9z8qWYl-dtCY_Vs,Hamburg,22761,Hamburg,DELDL,Lidl,9.914673,53.564582,1,0.0,0.0,1.0,supermarket,False,False,False,False,Lidl
ZO61lGawlLrlXZ6GykPesKscwKnZABumlAlyMifYiTE,Hamburg,22525,Hamburg,DEHHM,Hamburger Energiewerke,9.93143,53.58377,0,0.0,0.0,0.0,,,,,,
ZQljPPyyoVe-tlId8Cg60q0y6hmSbLihhK1-o-aDmxo,Hamburg,22589,Hamburg,DEWLN,Wirelane,9.83144,53.57761,0,0.0,0.0,0.0,,,,,,
ZZ7KUfK3RGAZZOcQvGemCN4T_sHNHehLq7Jt3hJgrAk,Hamburg,22609,Hamburg,DEHHM,Hamburger Energiewerke,9.866484,53.567931,0,0.0,0.0,0.0,,,,,,
ZemRfQ5xr6chzSzKe3akCrG00_rnQtzqO99nVCQdkfM,Hamburg,22393,Hamburg,DEWLN,Wirelane,10.11736,53.64966,0,0.0,0.0,0.0,,,,,,
ZgO0abSF4sYqm70fdXL8557d7JGdEdRxDtIXUkTQCJk,Hamburg,22761,Hamburg,DEHHM,Hamburger Energiewerke,9.88926,53.57483,0,0.0,0.0,0.0,,,,,,
ZhwjosZNezUTNlPCbHv_1OLYJkbTzLpUtzPfFWC9UdQ,Hamburg,21079,Hamburg,DEWIS,WISAG Elektrotechnik Holding GmbH & Co. KG,10.000779,53.457954,0,0.0,0.0,0.0,,,,,,
ZiFKKoGzeDy4baN8CkBHngwHwFQzNYLhYkwAuUTF9-U,Hamburg,22305,Hamburg,DEHHM,Hamburger Energiewerke,10.045081,53.589897,2,0.0,0.0,2.0,supermarket,False,False,False,False,
ZiFKKoGzeDy4baN8CkBHngwHwFQzNYLhYkwAuUTF9-U,Hamburg,22305,Hamburg,DEHHM,Hamburger Energiewerke,10.045081,53.589897,2,0.0,0.0,2.0,supermarket,False,False,False,False,
Zm8WjdEcZeFjQU5aDpe9scWHZFt6MQqODrgFhJ8upx8,Hamburg,22765,Hamburg,DEHHM,Hamburger Energiewerke,9.937826,53.559246,2,1.0,0.0,1.0,supermarket,False,False,True,False,
Zm8WjdEcZeFjQU5aDpe9scWHZFt6MQqODrgFhJ8upx8,Hamburg,22765,Hamburg,DEHHM,Hamburger Energiewerke,9.937826,53.559246,2,1.0,0.0,1.0,supermarket,False,False,False,False,Edeka
ZnT5nA1LK5TjBrx_qGhKObqCZ3BlltiqyGeXoWIplHE,Hamburg,20099,Hamburg,DEHHM,Hamburger Energiewerke,10.01704,53.55346,0,0.0,0.0,0.0,,,,,,
ZoT7TyQmDDNDjeS6-bked75BoBa_2Gmt8cYmgeLuBiQ,Hamburg,22761,Hamburg,DEHHM,Hamburger Energiewerke,9.915953,53.563355,1,0.0,0.0,1.0,supermarket,False,False,False,False,Aldi Nord
