id,locality,postalCode,state,streetAddress,geoCoordinates,operatorId,operatorName
T53XjQ7GIvtAR1NmkuAP3eEvrXaJsJEQ1GUIEEGKTN0,Hamburg,21035,Hamburg,Fanny-Lewald-Ring 28,"[10.17818,53.47865]",DEEZE,eze.network GmbH
T8Jp8C8GSgYu22ePpneUz0F3GV74HIvDX7b1YF71NlA,Hamburg,22529,Hamburg,Beiersdorfstraße 19,"[9.957175,53.58281]",DEMER,MER
TEDnYJoeIHOEaMphPvtLOWnZvVdrGT1mt2yfWrcO9Uw,Hamburg,20146,Hamburg,Grindelallee 129,"[9.979161,53.569285]",DEHHM,Hamburger Energiewerke
TOK5eW8xDNudsCswer9c_CEjx6s66X4qSRkDSy2OSq0,Hamburg,21129,Hamburg,Kurt-Eckelmann-Straße (Gebäude 13) 1,"[9.907321,53.527554]",DEMDS,Mennekes
TO_jaPJJeNYU9gnowgiS5hi2B7ES2MmJA0HmLI720qU,Hamburg,22089,Hamburg,Hasselbrookstr. 29,"[10.041041,53.563252]",DEMTS,Mentorics GmbH
TOy48DSU_Ua2M4J5HrPOWROeqb0Nd3mYbcmEnuVavpY,Hamburg,20095,Hamburg,Altstädter Straße 2,"[10.004708,53.549381]",DEHHM,Hamburger Energiewerke
TTLEnYJjeF5D6w93K8qwxvc6iiercP_WMUt2YXKcW-8,Hamburg,20255,Hamburg,Emilienstraße 11,"[9.955491,53.575563]",DEHHM,Hamburger Energiewerke
TUfIiMqPg-xRUkGuiRziZaZVkdbSX5CbxYd7V7HANFk,Hamburg,22301,Hamburg,Bellevue 13,"[10.00774,53.57766]",DEEZE,eze.network GmbH
TXuBIjOs_GeWJlfePdNzKUlPz6mqpsRUlkQQKWXHNtM,Hamburg,22453,Hamburg,175A Kollaustraße 219-1930,"[9.953007,53.611999]",DECPI,ChargePoint Germany GmbH
TYwlLkF1YkXnEKwv35_fLHWfFzU9c-ieZ-elA4pfp4U,Hamburg,22589,Hamburg,Sülldorfer Landstraße 91,"[9.809447,53.577864]",DEBPE,Aral Pulse
Tbvmb0PndaE-kq6QjAFQfMWXhJm4MhUJsB3hAYoJF8M,Hamburg,20357,Hamburg,Altonaer Straße 61,"[9.96354,53.564796]",DEHHM,Hamburger Energiewerke
TciE5Lhgg6iWyCY8IdD1fs8xBYOFfDJiJR0KYEsHfIs,Hamburg,22043,Hamburg,Holstenhofweg 55,"[10.10492,53.57369]",DEGCE,Volkswagen
Tg3WYazHPggGELM--gXIhIRl1k-vdWlY86q2swZB1Ww,Hamuburg,20357,Hamburg,Messeplatz 1,"[9.975393,53.563738]",DE455,Hamburg Messe und Congress GmbH
TiAKpGvY5bMHyskaLQvHiPYgwl3ihEInulI5mzA12JU,Hamburg,22455,Hamburg,Quedlinburger Weg 65,"[9.941477,53.634482]",DEHHM,Hamburger Energiewerke
Tm0wm1bIt9oCWAZUjcg_-XTX3u23bMdYeEFOc4POM70,Hamburg,22041,Hamburg,10 Holstenhofkamp,"[10.10421,53.57953]",DECPI,ChargePoint Germany GmbH
TmqSfWx5KEMnsFu6SYOAiU-K6zCdUZ6cqqq88Cv1Zho,Hamburg,22147,Hamburg,Finkenstieg 32,"[10.132305,53.613138]",DEWLN,Wirelane
TpFYv_iYtlEalYYLs-RKWapcwShtg6_PlKI6k0ifAdY,Hamburg,20097,Hamburg,Besenbinderhof 43,"[10.01382,53.55131]",DEEZE,eze.network GmbH
TrB5LqVoNlx-_IEdcyD1WKZsCdHtJkbc0Exx_OfJdrE,Hamburg,22765,Hamburg,Klopstockplatz 31,"[9.9317,53.54762]",DEEZE,eze.network GmbH
Ts7fBZE_D7LXzKFDoRsjkmi509zWgCi6RVrgpNQlSEs,Hamburg,20354,Hamburg,Theodor-Heuss-Platz 7,"[9.99077,53.56129]",DEHHM,Hamburger Energiewerke
TyX3q-rowJ2WGpmjYelJt-3CxaFgl-AGzcCiwjf05S0,Hamburg,22769,Hamburg,Oelkersallee 1A,"[9.953726,53.561728]",DEHHM,Hamburger Energiewerke
U08bi26wM_DnExZ0pbSiuWic5c3MUvxt5c0iNv7AL2I,Hamburg,22337,Hamburg,Sodenkamp 8,"[10.05006,53.630415]",DEHHM,Hamburger Energiewerke
U4yUFKDx1IgYCD932ClhvMOO3FzxN_BbiiFybNGzXFk,Hamburg,22589,Hamburg,Sülldorfer Landstraße 108-110,"[9.80769,53.578745]",DEGCE,Volkswagen
UAZWVDnU4DrjK8yahPlDkDXqay5NSXyLVnLtdwrcEcU,Hamburg,22117,Hamburg,Honsbergenstraße 5,"[10.12251,53.54033]",DEHHM,Hamburger Energiewerke
UCVBMvL-ZFXvcTRbI3JT6YCILb4kx3fQCAF-bBqyyrk,Hamburg,20357,Hamburg,Flora-Neumann-Straße 3,"[9.97334,53.5604]",DEHHM,Hamburger Energiewerke
UDWW1VgxeAltEubxBTby8lcHbQ4BH9VHG_10MNU1me8,Hamburg,21029,Hamburg,Soltaustraße 4A,"[10.218778,53.483519]",DEHHM,Hamburger Energiewerke
UFeiPyEEIzHDU3gmTWMb_m2kDiVBwE_MGyk-xkAhwg8,Hamburg,20255,Hamburg,Eichenstraße 90,"[9.953259,53.57784]",DEHHM,Hamburger Energiewerke
ULqyyAznzfPCRzIv2zCqaS0nDujjcXWmOTzmZN5ZndU,Hamburg,22455,Hamburg,Sethweg 43,"[9.94394,53.63223]",DEEZE,eze.network GmbH
UV5OkgrKy-pnadKEuv8258GE6XCz6dafe4mKiEuH_pc,Hamburg,21073,Hamburg,Bremer Straße 22,"[9.98019,53.45786]",DEHHM,Hamburger Energiewerke
UckCnpwB8hFoZigKhO-pWfZZGPZQZM3gPg5jRmxghP0,Hamburg,22529,Hamburg,Lokstedter Steindamm ggü. 73,"[9.967502,53.590221]",DEHHM,Hamburger Energiewerke
Ud07LOy5FOqCiNN5oK2paw6hmPNMNZtu_3ZWBgFHVaE,Hamburg,22453,Hamburg,Borsteler Chaussee 45,"[9.983013,53.605165]",DEHHM,Hamburger Energiewerke
Ue8bG2_ULj3QjtNx5xMZqSZ-nUG18wFFbpH-_8wREZ8,Hamburg,20459,Hamburg,Steinhöft 11,"[9.982767,53.544871]",DEHHM,Hamburger Energiewerke
UpuaCe4jVUHxBlOuW-z2HEzrHbHNo2XDm-A6H1yn3RY,Hamburg,22547,Hamburg,Lüttkamp 5,"[9.87435,53.5911]",DEEZE,eze.network GmbH
UskDST0m3R4MulRcv6VDkpLurFj4TU3pexlch4BM2E0,Hamburg,21073,Hamburg,Schlossmühlendamm 23,"[9.981628,53.463009]",DEHHM,Hamburger Energiewerke
UxmEIArdcUtCU9F6Bdy328_bniSOtLB1MH3SSWu3l38,Hamburg,20097,Hamburg,Heidenkampsweg 73,"[10.029127,54.5]",DE199,NWG Charging GmbH
Uyow3Vv20wo-hW0iwOotWzdR0Zn8BozR1pq563TDJcQ,Hamburg,20253,Hamburg,Gärtnerstraße 118,"[9.962689,53.578577]",DEHHM,Hamburger Energiewerke
V19_o7jnDTrpACNRtpbykQcrN9iaczZw90rP0hL2b6g,Hamburg,22041,Hamburg,35 Ahrensburger Straße,"[10.09334,53.57811]",DETNM,Shell Recharge
V1zhPb5gmsk4blamTirSeGSRZzEZFYCUKgEfDQJMdKk,Hamburg,22457,Hamburg,Modering 11,"[9.920787,53.637268]",DEVAT,Vattenfall
VAtN6el0t8wM8uC50OG6DrhMaq2ZMNWVkEHSI0-odGY,Hamburg,22765,Hamburg,Bahrenfelder Straße 98,"[9.93025,53.55115]",DEHHM,Hamburger Energiewerke
VBKAn2Mt0aZsAmXkEcLS-hQMcrtiA-E-1058-CfhJnQ,Hamburg,21035,Hamburg,Henriette-Herz-Ring 11,"[10.17881,53.48381]",DEUBI,ubitricity
